,names,code,change_price
509,라피치,403360,-1800
510,제이엠멀티,254160,540
511,신한서부티엔디리츠,404990,560
512,툴젠,199800,200
513,미래에셋글로벌리츠,396690,-260
514,켈스,402420,-1210
515,SK스퀘어,402340,176000
516,마음AI,377480,-4590
517,알비더블유,361570,14
518,NH올원리츠,400760,-10
519,NPX,222160,0
520,트윔,290090,-1510
521,아이티아이즈,372800,-635
522,지오엘리먼트,311320,180
523,SKAI,357880,1987
524,디어유,376300,-8950
525,지니너스,389030,1185
526,카카오페이,377300,2300
527,피코그램,376180,370
528,엔켐,348370,-27100
529,리파인,377450,-1240
530,지앤비에스 에코,382800,4275
531,아이패밀리에스씨,114840,-3740
532,차백신연구소,261780,440
533,지아이텍,382480,553
534,코닉오토메이션,391710,-545
535,케이카,381970,-5500
536,씨유테크,376290,-285
537,아스플로,159010,1550
538,원준,382840,980
539,실리콘투,257720,2300
540,에스앤디,260970,-15200
541,프롬바이오,377220,35
542,바이오플러스,99430,140
543,HD현대중공업,329180,-29000
544,SK리츠,395400,560
545,와이엠텍,273640,-810
546,에이비온,203400,-1110
547,라이콤,388790,3055
548,일진하이솔루스,271940,2270
549,디앤디플랫폼리츠,377190,-300
550,바이젠셀,308080,-5140
551,아주스틸,139990,-125
552,롯데렌탈,89860,2400
553,브레인즈컴퍼니,99390,-1070
554,딥노이드,315640,165
555,한컴라이프케어,372910,-615
556,엠로,58970,-12400
557,플래티어,367000,-270
558,원티드랩,376980,-170
559,크래프톤,259960,-10500
560,HK이노엔,195940,-1500
561,PI첨단소재,178920,7650
562,카카오뱅크,323410,3350
563,에브리봇,270660,-6400
564,비트맥스,377030,-989
565,큐라클,365270,5750
566,에스디바이오센서,137310,-880
567,오비고,352910,-880
568,엠씨넥스,97520,-6300
569,아모센스,357580,8900
570,타임기술,318660,-1445
571,이노뎁,303530,-1335
572,라온로보틱스,232680,240
573,이성씨엔아이,379390,-690
574,페니트리움바이오,187660,12320
575,에코프로에이치엔,383310,6700
576,LX홀딩스,383800,280
577,진시스템,363250,3085
578,한울앤제주,276730,-627
579,F&F,383220,700
580,삼영에스앤씨,361670,-335
581,샘씨엔에스,252990,2880
582,씨앤씨인터내셔널,352480,-6200
583,에이치피오,357230,-45
584,SK아이이테크놀로지,361610,-1050
585,쿠콘,294570,-1350
586,이삭엔지니어링,351330,-1400
587,해성에어로보틱스,59270,-140
588,엔시스,333620,-180
589,자이언트스텝,289220,-1635
590,제노코,361390,10630
591,스피어,347700,20360
592,SK바이오사이언스,302440,-6000
593,바이오다인,314930,-1630
594,네오이뮨텍,950220,-371
595,화승알앤에이,378850,70
596,싸이버원,356890,-705
597,프레스티지바이오로직스,334970,-865
598,나노씨엠에스,247660,-290
599,뷰노,338220,-6960
600,엑스플러스,373200,224
601,유일에너테크,340930,-608
602,씨이랩,189330,-510
603,오로스테크놀로지,322310,5300
604,피엔에이치테크,239890,205
605,모비데이즈,363260,-185
606,아이퀘스트,262840,-27
607,프레스티지바이오파마,950210,-4420
608,레인보우로보틱스,277810,95500
609,아티스트컴퍼니,321820,205
610,솔루엠,248070,1740
611,핑거,163730,930
612,모비릭스,348030,-480
613,씨앤투스,352700,-305
614,선진뷰티사이언스,86710,120
615,DL이앤씨,375500,54600
616,엔비티,236810,-357
617,파이버프로,368770,9900
618,나우코스,257990,2080
619,루트락,253610,-38
620,ESR켄달스퀘어리츠,365550,345
621,블리츠웨이엔터테인먼트,369370,-162
622,석경에이티,357550,-14900
623,지놈앤컴퍼니,314130,-1080
624,프리시젼바이오,335810,-390
